Binary Balanced 1,Binary Balanced 2,Binary Extreme 1a,Binary Extreme 1b,Binary Extreme 2,Trinary Balanced 1,Trinary Balanced 2,Trinary Skewed 1a,Trinary Skewed 1b,Trinary Skewed 2,Trinary Extreme 1a,Trinary Extreme 1b,Trinary Extreme 2,Quaternary Balanced 1,Quaternary Balanced 2,Quaternary Skewed 1a,Quaternary Skewed 1b,Quaternary Skewed 2,Quaternary Extreme 1a,Quaternary Extreme 1b,Quaternary Extreme 2,Continuous Normal,Continuous Skewed,Continuous Binary Normal 1,Continuous Binary Normal 2,Continuous Trinary Normal,Continuous Quaternary Normal,Continuous Binary Skewed,Continuous Trinary Skewed,Continuous Quaternary Skewed,Unary 1,Unary 2,Correlated 1,Correlated 2
A,C,E,H,J,C,F,A,D,J,A,D,J,C,F,H,L,S,H,L,S,-0.092050058,0.0031651,1.018449453,2.008393222,2.905228372,2.939215146,1.139471993,8.837415428,8.028002563,-16.22578845,-39.39672303,1262,1261
B,D,E,H,J,A,D,A,D,J,A,D,J,D,G,H,L,S,H,L,S,-0.090141982,0.007394866,5.001974777,10.00707054,1.080109248,4.006895506,4.032029621,0.820324828,15.64928384,-22.45151337,-16.85297258,1263,1262
A,C,E,H,J,B,E,A,D,J,A,D,J,A,D,H,L,S,H,L,S,-0.054005553,4.53E-06,1.006625199,2.011521215,1.885440638,1.148857455,1.155123935,3.676132741,1.01611248,-1.206171582,-55.01223668,1264,1264
B,D,E,H,J,C,F,A,D,J,A,D,J,B,E,H,L,S,H,L,S,0.194526542,0.001237595,5.001211583,10.00722583,2.933957654,1.98158629,4.068268095,9.411531486,4.222203843,-8.397403181,-21.94830932,1265,1264
A,C,E,H,J,A,D,A,D,J,A,D,J,C,F,H,L,S,H,L,S,-0.019724402,0.016100979,0.989624642,2.008018368,0.924775221,3.055559511,0.656008339,0.733408443,8.814761206,-7.38384978,-8.290312737,1266,1266
B,D,E,H,J,B,E,A,D,J,A,D,J,D,G,H,L,S,H,L,S,-0.054776476,0.005945268,4.997334267,9.986079695,1.926194317,4.042234096,4.283243641,4.378310258,14.91781682,-23.86087163,15.94839612,1267,1267
A,C,E,H,J,C,F,A,D,J,A,D,J,A,D,H,L,S,H,L,S,0.003850511,0.000211884,0.994660971,1.988410763,2.985696567,0.784129028,0.980783265,8.432071715,0.869652595,-17.81617798,-16.6062239,1268,1268
B,D,E,H,J,A,D,A,D,J,A,D,J,B,E,H,L,S,H,L,S,0.076372581,0.011302912,5.017779185,9.999042139,1.077400811,2.011249561,3.849421215,1.065252271,4.577229769,6.978673133,-9.522753938,1269,1268
A,C,E,H,J,B,E,A,D,J,A,D,J,C,F,H,L,S,H,L,S,0.12656073,0.001018481,1.007058275,1.994801173,2.092113849,3.178805777,0.985115292,3.834483222,8.833954622,-21.00840614,-34.52152943,1270,1269
B,D,E,H,J,C,F,A,D,J,A,D,J,D,G,H,L,S,H,L,S,0.041205269,0.001269906,4.980031505,10.00487548,2.984765216,4.053145244,4.794971296,8.490139841,16.27489123,-17.06409522,-18.83901271,1271,1271
A,C,E,H,J,A,D,A,D,J,A,D,J,A,D,H,L,S,H,L,S,-0.075112615,0.016125948,0.994376923,1.990131511,1.013624055,1.12990421,0.895797119,1.007700719,0.964427523,-15.43223524,-54.11042044,1272,1271
B,D,E,H,J,B,E,A,D,J,A,D,J,B,E,H,L,S,H,L,S,0.029734384,0.000238971,5.002003633,9.999356296,1.822596422,1.808270361,4.082249121,3.37039545,4.589792035,6.144740001,-49.4448766,1273,1273
A,C,E,H,J,C,F,A,D,J,A,D,J,C,F,H,L,S,H,L,S,-0.073795653,0.000308182,0.999764104,2.011454172,2.948754333,2.804620759,0.933537982,8.81393428,9.333017288,-19.84181369,-33.05210768,1274,1273
B,D,E,H,J,A,D,A,D,J,A,D,J,D,G,H,L,S,H,L,S,-0.015132645,0.002240616,4.989950764,10.00585038,1.007731995,4.009695138,4.263849055,1.053005546,17.19892889,-19.28274047,-0.373308154,1275,1275
A,C,E,H,J,B,E,A,D,J,A,D,J,A,D,H,L,S,H,L,S,0.141877918,0.000183261,1.001200407,2.006482761,2.144809174,1.066728097,1.10628632,4.573746583,1.307150104,-6.945439808,-24.75491821,1276,1276
B,D,E,H,J,C,F,A,D,J,A,D,J,B,E,H,L,S,H,L,S,0.137771346,0.004196202,5.009505182,9.993262627,2.900597524,2.135072595,4.025964175,9.035430742,3.963467155,3.906099192,-20.20899273,1277,1277
A,C,E,H,J,A,D,A,D,J,A,D,J,C,F,H,L,S,H,L,S,-0.167743619,0.028543041,1.004397472,1.984366334,1.022976984,3.064737689,1.06733792,1.274483219,8.93439321,-14.25342804,-10.89151587,1278,1278
B,D,E,H,J,B,E,A,D,J,A,D,J,D,G,H,L,S,H,L,S,0.185707982,5.91E-05,5.005452055,10.00334549,1.83897811,4.018195226,4.121365154,3.255624589,15.43721595,-30.10033369,-10.60313547,1279,1278
A,C,E,H,J,C,F,A,D,J,A,D,J,A,D,H,L,S,H,L,S,0.05416791,7.40E-05,0.99207717,1.972234651,3.030013027,0.971918955,0.964886579,7.342027665,1.329912246,-5.842455205,3.510445408,1280,1280
B,D,E,H,J,A,D,A,D,J,A,D,J,B,E,H,L,S,H,L,S,-0.004116487,0.001209677,5.000763486,9.998648657,1.079489266,1.970857263,4.455410074,0.827408272,3.965328738,-8.208940123,-16.65554137,1281,1280
A,C,E,H,J,B,E,A,D,J,A,D,J,C,F,H,L,S,H,L,S,0.022580232,0.004230482,1.010223139,1.999765255,2.055203979,3.150797766,1.214529706,4.411292504,9.450451517,8.281992884,-39.48773592,1282,1282
B,D,E,H,J,C,F,A,D,J,A,D,J,D,G,H,L,S,H,L,S,0.107728937,0.00234543,5.012094571,9.998867149,2.817504063,4.139170516,4.454761595,8.674159279,16.15080748,6.105434251,-33.35300086,1283,1282
A,C,E,H,J,A,D,A,D,J,A,D,J,A,D,H,L,S,H,L,S,0.047447386,0.000639187,0.989750067,2.020129961,0.958697276,0.95605452,1.113299727,1.045162913,0.632683208,2.218617702,-12.69320058,1284,1284
B,D,E,H,J,B,E,A,D,J,A,D,J,B,E,H,L,S,H,L,S,-0.078237912,0.009992313,4.994052779,10.00960543,2.088500468,2.039605719,4.518410438,3.728257037,4.484613897,-2.978854249,-36.19048083,1285,1285
A,C,E,H,J,C,F,A,D,J,A,D,J,C,F,H,L,S,H,L,S,-0.02266586,0.001522789,0.983668115,2.004692302,2.936420516,2.919164033,1.329408239,9.232929892,10.12200305,-8.742106104,-5.145902256,1286,1286
B,D,E,H,J,A,D,A,D,J,A,D,J,D,G,H,L,S,H,L,S,-0.152064233,0.001295285,5.002320045,9.985000878,1.032025344,4.009399919,5.455869425,0.851581882,17.57391717,-15.10763167,0.659637051,1287,1287
A,C,E,H,J,B,E,A,D,J,A,D,J,A,D,H,L,S,H,L,S,0.00703296,0.00891656,0.989576519,1.99748131,2.191982794,0.929122432,0.711412624,3.245707107,1.154015479,-11.31624317,-15.01317685,1288,1287
B,D,E,H,J,C,F,A,D,J,A,D,J,B,E,H,L,S,H,L,S,0.044375929,0.000142514,5.00931421,10.00743542,2.937595883,2.071461954,4.525868148,8.574440148,4.409723034,-10.24340452,-23.15046191,1289,1288
A,C,E,H,J,A,D,A,D,J,A,D,J,C,F,H,L,S,H,L,S,-0.007300942,0.007183074,0.998871513,2.003092837,1.031918697,2.822112638,1.001722037,1.048699589,8.53164174,-20.47610156,-29.28937432,1290,1290
B,D,E,H,J,B,E,A,D,J,A,D,J,D,G,H,L,S,H,L,S,-0.023099387,0.000366617,5.006072553,10.00196543,2.036592015,4.009571892,3.923427979,4.235740268,15.16745823,-13.78910467,-18.05370625,1291,1290
A,C,E,H,J,C,F,A,D,J,A,D,J,A,D,H,L,S,H,L,S,0.075733979,0.003026799,1.016415699,1.99942562,3.03799823,0.942881714,0.731097312,8.333398083,1.203422685,-14.81040646,-27.42720485,1292,1292
B,D,E,H,J,A,D,A,D,J,A,D,J,B,E,H,L,S,H,L,S,0.07212344,0.006113495,5.000724629,9.998534298,1.084885858,2.043637417,3.300588755,1.13457932,4.198523538,-19.63541094,-3.006366413,1293,1293
A,C,E,H,J,B,E,A,D,J,A,D,J,C,F,H,L,S,H,L,S,0.111093594,0.002126013,1.012552539,1.991039016,1.961998541,2.888454641,0.917094966,3.589286824,10.24532749,-8.508712801,-20.30606245,1294,1293
B,D,E,H,J,C,F,A,D,J,A,D,J,D,G,H,L,S,H,L,S,0.079143137,0.001484978,4.988685423,9.997406548,3.00456243,4.065580906,3.870998734,8.010238331,16.67989225,-27.21531798,-20.01716465,1295,1294
A,C,E,H,J,A,D,A,D,J,A,D,J,A,D,H,L,S,H,L,S,-0.075027104,2.08E-05,0.999819608,2.024927416,1.052638699,1.08704283,1.095680973,1.022837787,1.063794176,1.142319166,-18.74792286,1296,1295
B,D,E,H,J,B,E,A,D,J,A,D,J,B,E,H,L,S,H,L,S,-0.017236354,0.00184493,4.974847539,9.998171562,1.928508572,1.854756125,4.028336247,3.341685939,4.535257047,-33.07457639,-32.31471753,1297,1296
A,C,E,H,J,C,F,A,D,J,A,D,J,C,F,H,L,S,H,L,S,0.096659041,0.002198881,0.997245738,2.000737837,2.96089881,2.832982533,0.840117804,8.949500304,9.996779237,-8.799195445,-50.61584556,1298,1298
B,D,E,H,J,A,D,A,D,J,A,D,J,D,G,H,L,S,H,L,S,0.031679987,0.019749069,4.999028962,9.981795286,0.969059783,3.942667691,4.050714096,1.116641141,14.81896976,-24.17686479,-24.46417788,1299,1298
A,C,E,H,J,B,E,A,D,J,A,D,J,A,D,H,L,S,H,L,S,0.005217813,0.003245277,0.996002773,2.026127167,2.10048039,0.914791489,1.214675529,4.040570964,1.128930223,8.293042791,-13.23082091,1300,1299
B,D,E,H,J,C,F,A,D,J,A,D,J,B,E,H,L,S,H,L,S,0.050881159,0.005150422,5.008088161,9.989704034,2.983278814,2.183119546,4.36208078,8.39523053,3.524636903,-6.85141081,-2.686843511,1301,1300
A,C,E,H,J,A,D,A,D,J,A,D,J,C,F,H,L,S,H,L,S,-0.089777612,0.001984563,1.006195702,2.008500711,0.948133036,2.876252072,0.643873599,1.124198472,8.711661491,-7.716472205,2.201743336,1302,1302
B,D,E,H,J,B,E,A,D,J,A,D,J,D,G,H,L,S,H,L,S,0.142020294,0.000782757,5.005669959,9.99904093,2.02111898,4.103642165,3.296660385,3.662015272,15.71975624,-17.13324231,-53.12255825,1303,1303
A,C,E,H,J,C,F,A,D,J,A,D,J,A,D,H,L,S,H,L,S,-0.004630427,0.025438234,0.997925758,2.004508783,2.959271757,1.045464643,1.191666666,9.235306258,0.958919278,-14.40906135,-47.92531778,1304,1304
B,D,E,H,J,A,D,A,D,J,A,D,J,B,E,H,L,S,H,L,S,-0.148019664,0.001944496,4.982362282,10.00407633,1.183971236,1.726692124,3.623071793,1.021479153,4.105918245,-4.436575972,-12.94463023,1305,1304
A,C,E,H,J,B,E,A,D,J,A,D,J,C,F,H,L,S,H,L,S,0.253051934,0.015358821,1.014307794,1.985298184,1.949724939,3.051182138,1.060092722,3.593121888,7.769849147,-12.24417064,10.43335715,1306,1306
B,D,E,H,J,C,F,A,D,J,A,D,J,D,G,H,L,S,H,L,S,0.143455395,0.000307066,4.98093769,10.01456492,3.168292897,3.992971179,3.820261298,8.55352985,16.53788029,-6.619481407,-27.29432022,1307,1306
A,C,E,H,J,A,D,A,D,J,A,D,J,A,D,H,L,S,H,L,S,0.030266732,0.008871563,0.994270747,1.994393321,0.989557604,0.927372848,0.763685929,0.804314037,1.289238957,-19.14761459,2.089793,1308,1308
B,D,E,H,J,B,E,A,D,J,A,D,J,B,E,H,L,S,H,L,S,-0.007614689,0.000666075,4.996975604,9.993653055,1.916420477,1.951842647,3.949615958,3.760774451,3.975206229,-19.92252736,-14.17192692,1309,1308
A,C,E,H,J,C,F,A,D,J,A,D,J,C,F,H,L,S,H,L,S,0.077219322,0.000528235,0.990546547,1.98931405,2.997398499,3.088952479,1.241364712,10.01458045,8.93261453,-17.62177207,-3.740195551,1310,1309
B,D,E,H,J,A,D,A,D,J,A,D,J,D,G,H,L,S,H,L,S,0.204080711,0.046277907,5.000367314,10.00025713,1.044760447,4.129031062,3.960112894,0.838009408,16.02150331,-11.30085871,-43.0400849,1311,1310
A,C,E,H,J,B,E,A,D,J,A,D,J,A,D,H,L,S,H,L,S,0.060082301,0.000163863,0.995805616,1.997085101,2.00248592,1.031164581,0.988250115,3.956652907,1.211802463,-25.77780539,-35.53307891,1312,1312
B,D,E,H,J,C,F,A,D,J,A,D,J,B,E,H,L,S,H,L,S,0.130951129,0.000219229,5.000403491,10.00260377,2.844268371,2.05295991,3.147511557,9.902634054,3.951868755,-24.61649591,-49.40121411,1313,1313
A,C,E,H,J,A,D,A,D,J,A,D,J,C,F,H,L,S,H,L,S,-0.004466468,0.002916487,1.012509779,1.994377411,0.933094329,3.084961474,0.893340783,1.191011556,8.347974618,-18.48518375,-35.95029179,1314,1313
B,D,E,H,J,B,E,A,D,J,A,D,J,D,G,H,L,S,H,L,S,0.110172522,0.009684428,4.993924131,9.996363206,1.933184338,4.039761017,4.203161694,4.514167331,16.79058449,-13.98449429,-8.689530188,1315,1314
A,C,E,H,J,C,F,A,D,J,A,D,J,A,D,H,L,S,H,L,S,-0.008880191,0.010592137,1.010634443,2.010393713,2.953085855,0.942977878,1.132435321,8.315887091,1.256464776,3.85598407,28.92002128,1316,1315
B,D,E,H,J,A,D,A,D,J,A,D,J,B,E,H,L,S,H,L,S,-0.098538581,0.000136327,4.978109999,10.01729596,0.895808345,2.047897613,4.33299943,0.860138031,3.510786065,-8.085785122,-45.21863417,1317,1316
A,C,E,H,J,B,E,A,D,J,A,D,J,C,F,H,L,S,H,L,S,0.055039949,0.005673962,0.999791093,2.003471316,2.109000967,3.030788754,1.020549134,3.495666939,9.287514401,-11.38569938,-9.766572231,1318,1318
B,D,E,H,J,C,F,A,D,J,A,D,J,D,G,H,L,S,H,L,S,0.105336798,0.010384877,5.005653863,10.00577931,3.123555925,4.131860688,4.260285648,9.194893186,14.81976204,-7.708247134,-53.53041644,1319,1318
A,C,E,H,J,A,D,A,D,J,A,D,J,A,D,H,L,S,H,L,S,-0.021973709,0.012550387,1.01018961,2.019926153,1.161086817,0.984308702,0.796020338,0.994499307,1.06090989,-0.457323492,-40.27934941,1320,1320
B,D,E,H,J,B,E,A,D,J,A,D,J,B,E,H,L,S,H,L,S,0.142897021,0.011305542,5.010122437,10.01185137,1.997062185,1.790931318,3.654137988,3.807008323,4.233024144,-7.860985345,-33.12513097,1321,1321
A,C,E,H,J,C,F,A,D,J,A,D,J,C,F,H,L,S,H,L,S,-0.131125394,0.017021209,1.008607773,1.985017468,3.037412227,3.016510049,1.208705497,8.775489407,8.794620427,-17.05814445,-3.509605279,1322,1322
B,D,E,H,J,A,D,A,D,J,A,D,J,D,G,H,L,S,H,L,S,-0.016072069,0.001300315,4.999405634,10.01342464,0.772111141,3.947392255,3.996243854,0.832285479,16.1883172,-2.083209632,-45.48312923,1323,1322
A,C,E,H,J,B,E,A,D,J,A,D,J,A,D,H,L,S,H,L,S,0.088531282,0.019877321,0.986104247,2.003016898,1.9508252,0.932380868,0.956088879,3.529918917,1.344331462,-18.95859659,-47.36277711,1324,1323
B,D,E,H,J,C,F,A,D,J,A,D,J,B,E,H,L,S,H,L,S,0.033771749,0.061386043,4.974300072,10.02112373,3.117796131,1.896835936,4.724284747,10.25168345,4.230806543,-5.958413664,-39.63962306,1325,1324
A,C,E,H,J,A,D,A,D,J,A,D,J,C,F,H,L,S,H,L,S,-0.072143537,0.004446032,0.999750362,2.002981858,0.968012408,2.914825066,0.914089837,1.215953556,7.766049974,-8.471643487,-0.808451381,1326,1325
B,D,E,H,J,B,E,A,D,J,A,D,J,D,G,H,L,S,H,L,S,0.099469439,0.00060766,4.998803344,10.00124076,2.112349046,3.952706709,4.083399841,4.06070451,15.59590447,-11.1741519,-12.6848556,1327,1326
A,C,E,H,J,C,F,A,D,J,A,D,J,A,D,H,L,S,H,L,S,0.019396731,7.02E-06,0.999124232,2.009713564,3.088201737,0.896893628,1.233674112,8.059713133,0.775799829,-16.21824375,-19.7989556,1328,1328
B,D,E,H,J,A,D,A,D,J,A,D,J,B,E,H,L,S,H,L,S,-0.006673279,3.07E-05,5.00148165,10.00278327,0.848413341,1.88395985,4.021506156,1.146220782,4.354585227,-10.16056328,-15.01395543,1329,1328
A,C,E,H,J,B,E,A,D,J,A,D,J,C,F,H,L,S,H,L,S,-0.055769096,0.002579157,1.002157706,2.000931065,1.843775332,3.036191591,0.804707553,4.192312808,9.149499085,4.137621225,-40.37875578,1330,1329
B,D,E,H,J,C,F,A,D,J,A,D,J,D,G,H,L,S,H,L,S,-0.10799804,0.007418537,4.992537858,10.00097016,3.075207967,4.126250629,3.629541326,8.75321785,17.01953692,-5.262318047,-34.9177446,1331,1331
A,C,E,H,J,A,D,A,D,J,A,D,J,A,D,H,L,S,H,L,S,-0.01489123,0.00196827,1.005779916,2.024717888,0.869833065,1.080128295,0.583258932,1.170344114,0.939826333,17.19680116,-21.7945101,1332,1332
B,D,E,H,J,B,E,A,D,J,A,D,J,B,E,H,L,S,H,L,S,0.071919964,0.000638522,5.011312631,9.99011323,2.037692634,1.942763435,3.455578335,4.317237022,3.645534203,-19.17174357,-8.569063305,1333,1332
A,C,E,H,J,C,F,A,D,J,A,D,J,C,F,H,L,S,H,L,S,-0.070964072,9.57E-05,0.995438712,1.997256951,2.892603819,3.075833729,0.849203326,8.066034632,9.456419902,-2.316856102,-27.08742702,1334,1334
B,D,E,H,J,A,D,A,D,J,A,D,J,D,G,H,L,S,H,L,S,0.069024994,4.87E-10,5.009229461,10.01317906,1.007504744,3.952173494,3.443562118,0.84015721,15.53777871,7.661949291,-44.84887476,1335,1334
A,C,E,H,J,B,E,A,D,J,A,D,J,A,D,H,L,S,H,L,S,0.177830458,0.002833375,0.992078883,2.009308381,1.914695781,0.949068813,0.801623281,3.850373609,0.7989074,2.579179165,-4.152165196,1336,1335
B,D,E,H,J,C,F,A,D,J,A,D,J,B,E,H,L,S,H,L,S,0.018310255,7.73E-05,4.98493693,10.00039349,2.909060332,1.911715978,3.88446728,9.007674343,3.548616082,-8.075228358,-32.15496478,1337,1337
A,C,E,H,J,A,D,A,D,J,A,D,J,C,F,H,L,S,H,L,S,0.291903179,0.017252151,0.991716815,2.004960158,0.938229232,3.001391562,0.807817925,0.810502844,8.411632972,-7.44743287,-44.16402184,1338,1337
B,D,E,H,J,B,E,A,D,J,A,D,J,D,G,H,L,S,H,L,S,-0.130949218,0.005317624,5.017916065,10.00160898,2.063238383,3.981322527,4.315936069,3.761459848,16.4441238,-11.03663515,2.346385121,1339,1338
A,C,E,H,J,C,F,A,D,J,A,D,J,A,D,H,L,S,H,L,S,-0.045734636,0.010853832,1.000751016,1.989015743,3.035147284,0.929125989,1.010018201,8.852504511,0.777244605,-12.07599941,-7.991719314,1340,1340
B,D,E,H,J,A,D,A,D,J,A,D,J,B,E,H,L,S,H,L,S,0.004353465,0.007754673,4.981340987,9.986221179,1.048986553,1.958760174,3.245586351,1.104442441,4.585136556,-7.77835693,10.42261732,1341,1341
A,C,E,H,J,B,E,A,D,J,A,D,J,C,F,H,L,S,H,L,S,-0.092198019,9.10E-05,1.013897568,2.005092131,1.907898345,3.002572165,1.002054114,4.519181869,9.187276879,-4.683614193,15.98926677,1342,1341
B,D,E,H,J,C,F,A,D,J,A,D,J,D,G,H,L,S,H,L,S,0.032434765,0.000229291,4.987496965,9.99424566,3.325896134,3.917142136,3.62955006,9.240712742,15.3426767,-4.270600861,-26.02902791,1343,1342
A,C,E,H,J,A,D,A,D,J,A,D,J,A,D,H,L,S,H,L,S,0.02643595,0.044977836,0.98286152,1.994840963,0.850514939,0.825063692,1.110549236,0.993277494,0.875838138,-0.037370862,-9.724654171,1344,1344
B,D,E,H,J,B,E,A,D,J,A,D,J,B,E,H,L,S,H,L,S,0.086764852,0.010344434,5.001123891,10.00432178,1.916402005,1.909156267,3.816519343,3.967734849,3.911404533,-3.781631534,-2.026668823,1345,1345
A,C,E,H,J,C,F,A,D,J,A,D,J,C,F,H,L,S,H,L,S,-0.071413675,0.003414826,1.002140955,2.014004583,3.07884525,3.020261,1.120981373,9.881517552,9.123439346,-22.01912176,-9.788254968,1346,1345
B,D,E,H,J,A,D,A,D,J,A,D,J,D,G,H,L,S,H,L,S,0.023240971,0.005960243,5.000101415,10.00220377,1.185043077,4.063889971,4.000175139,0.907293616,15.3166601,2.477105213,-5.241501258,1347,1347
A,C,E,H,J,B,E,A,D,J,A,D,J,A,D,H,L,S,H,L,S,-0.067092009,0.016438818,0.982315081,1.998166876,2.077501156,0.82460248,0.981887814,4.520929626,0.899643938,-17.36821949,-4.062074285,1348,1347
B,D,E,H,J,C,F,A,D,J,A,D,J,B,E,H,L,S,H,L,S,0.022278216,0.001659771,5.000538209,10.01432724,2.939488752,2.022162791,4.04449038,9.93416992,4.154862645,-4.858984765,-18.94332671,1349,1348
A,C,E,H,J,A,D,A,D,J,A,D,J,C,F,H,L,S,H,L,S,-0.077797294,0.005982967,1.004089049,2.010766076,0.995788764,3.059614658,1.24305622,1.282906617,8.938092633,2.127811642,-51.15175761,1350,1350
B,D,E,H,J,B,E,A,D,J,A,D,J,D,G,H,L,S,H,L,S,-0.185888255,0.052663834,5.023372851,9.993705168,1.945182651,4.076265667,4.459177949,4.468636349,16.60961963,-18.42087614,-15.79339177,1351,1350
A,C,E,H,J,C,F,A,D,J,A,D,J,A,D,H,L,S,H,L,S,-0.041317286,0.003239666,1.010301616,2.008769792,2.98922565,0.955728469,0.760310455,8.562499648,1.336658526,-1.477727057,1.213760305,1352,1352
B,D,E,H,J,A,D,A,D,J,A,D,J,B,E,H,L,S,H,L,S,-0.004164233,0.008286535,5.009183227,9.993217372,1.120281247,1.993530249,3.422400861,1.079892433,3.279790314,-19.52041222,-61.34667063,1353,1352
A,C,E,H,J,B,E,A,D,J,A,D,J,C,F,H,L,S,H,L,S,0.204497992,0.010781681,0.979984714,1.979389275,2.116446535,2.83792429,1.306096547,3.366193081,8.942742865,-7.972305419,-6.836486235,1354,1354
B,D,E,H,J,C,F,A,D,J,A,D,J,D,G,H,L,S,H,L,S,-0.089386948,4.08E-06,4.995811211,10.0094214,2.946534728,4.042337092,4.445456794,8.721898236,16.78653852,-12.36527562,14.16051744,1355,1354
A,C,E,H,J,A,D,A,D,J,A,D,J,A,D,H,L,S,H,L,S,-0.059251882,0.002732352,1.009075461,2.005066381,0.978120573,0.971187622,0.856556094,0.905658647,0.993909064,-10.56763587,-27.03330712,1356,1355
B,D,E,H,J,B,E,A,D,J,A,D,J,B,E,H,L,S,H,L,S,0.1811988,0.000167957,4.996048679,9.989941934,1.925665491,2.020626295,4.323801584,3.943572817,3.666630019,-17.07875697,-27.47949074,1357,1357
A,C,E,H,J,C,F,A,D,J,A,D,J,C,F,H,L,S,H,L,S,-0.021884363,0.003819061,1.002367509,2.014613529,2.976076777,2.881098707,1.5969175,8.610048208,8.405138174,-14.78158313,-50.91527589,1358,1357
B,D,E,H,J,A,D,A,D,J,A,D,J,D,G,H,L,S,H,L,S,-0.048345738,0.019742408,5.014835256,9.986728032,0.888219944,3.926786794,3.817072796,0.95359008,15.62482894,-3.432854,-2.956461032,1359,1359
A,C,E,H,J,B,E,A,D,J,A,D,J,A,D,H,L,S,H,L,S,-0.001409146,0.001103687,1.002680421,1.989107985,1.930466179,1.09624715,1.096698072,4.56601355,0.82325665,4.501845178,-62.56749155,1360,1359
B,D,E,H,J,C,F,A,D,J,A,D,J,B,E,H,L,S,H,L,S,0.00517924,0.023384943,4.997135059,9.994935564,3.022374579,1.96652975,4.017367666,8.754607033,3.683247835,-18.13465708,-36.7135272,1361,1360
A,C,E,H,J,A,D,A,D,J,A,D,J,C,F,H,L,S,H,L,S,-0.043500015,0.009141753,0.999981861,2.009423342,1.04958829,3.033747406,0.813354358,0.994469897,10.09587884,-5.626242928,-5.320584566,1362,1361
B,D,E,H,J,B,E,A,D,J,A,D,J,D,G,H,L,S,H,L,S,-0.154092449,0.000243863,4.986687215,10.01373199,2.071098818,3.931041859,4.202353567,4.649579153,17.11711002,-6.997959139,-63.84853687,1363,1362
A,C,E,H,J,C,F,A,D,J,A,D,J,A,D,H,L,S,H,L,S,-0.007568357,0.004920927,1.001046678,2.013969798,3.151114325,0.936187956,0.987157405,9.940014413,1.064892212,2.014167399,-4.648389729,1364,1363
B,D,E,H,J,A,D,A,D,J,A,D,J,B,E,H,L,S,H,L,S,-0.012357442,1.29E-05,5.000286225,9.993214604,1.046321172,2.043266246,4.517793801,1.229805996,3.996223746,11.95639774,-47.65032313,1365,1364
A,C,E,H,J,B,E,A,D,J,A,D,J,C,F,H,L,S,H,L,S,0.114786111,0.003549594,1.016373099,2.003578957,2.103578283,3.121990005,0.537281978,4.230110726,8.820676777,-8.719997699,-25.90189464,1366,1365
B,D,E,H,J,C,F,A,D,J,A,D,J,D,G,H,L,S,H,L,S,-0.117083001,0.032341234,4.996503636,9.979662339,3.053813928,4.008447584,4.440138002,9.180910883,15.94996855,-12.37026141,25.06474872,1367,1367
A,C,E,H,J,A,D,A,D,J,A,D,J,A,D,H,L,S,H,L,S,0.004321595,0.001649684,1.001301947,1.997703869,0.966994984,1.123282169,1.313418496,1.180111006,0.875098593,-28.10094244,-26.59541392,1368,1368
B,D,E,H,J,B,E,A,D,J,A,D,J,B,E,H,L,S,H,L,S,0.170526452,0.032443202,4.996455538,9.988818547,1.917722565,2.115282327,3.656809922,4.307936325,3.753006652,-10.40401019,5.712300345,1369,1368
A,C,E,H,J,C,F,A,D,J,A,D,J,C,F,H,L,S,H,L,S,-0.061390409,0.012281561,1.009380886,1.992236424,3.089327312,3.036126606,0.820800763,10.77254464,9.549178255,-13.74569917,-14.57894173,1370,1370
B,D,E,H,J,A,D,A,D,J,A,D,J,D,G,H,L,S,H,L,S,-0.083482357,0.000437061,5.020702835,9.992021347,0.929387052,4.113295924,3.955971515,0.873024113,17.28213319,9.177427325,2.456791861,1371,1370
A,C,E,H,J,B,E,A,D,J,A,D,J,A,D,H,L,S,H,L,S,-0.02938909,0.039117512,1.02252279,2.001725426,1.962770783,0.880100879,1.342238245,4.437115611,1.389415984,-19.01562155,-21.41725381,1372,1372
B,D,E,H,J,C,F,A,D,J,A,D,J,B,E,H,L,S,H,L,S,0.071284088,0.002186705,4.988437819,10.00989905,2.88466267,2.313263867,3.700461638,8.882318312,3.889662044,-14.15283778,-37.37619427,1373,1373
A,C,E,H,J,A,D,A,D,J,A,D,J,C,F,H,L,S,H,L,S,-0.176887367,0.023828554,0.996810921,1.991125339,1.001909061,2.768411162,1.127575389,1.268348396,8.935830051,-4.087857406,12.09639316,1374,1373
B,D,E,H,J,B,E,A,D,J,A,D,J,D,G,H,L,S,H,L,S,0.080067365,5.76E-05,4.985709673,9.996978403,1.959429803,3.987157516,3.508664379,4.189105064,16.58804334,-3.970764562,-1.216261577,1375,1375
A,C,E,H,J,C,F,A,D,J,A,D,J,A,D,H,L,S,H,L,S,0.07089598,0.002991178,1.004285641,1.975108426,3.121393572,1.021087838,1.090940537,8.574916365,1.377137287,-4.650067551,-24.05983148,1376,1375
B,D,E,H,J,A,D,A,D,J,A,D,J,B,E,H,L,S,H,L,S,-0.119216734,0.021744985,4.990073138,9.998908516,0.921711169,1.847605849,3.99163442,0.932166757,4.314972529,-11.58029137,-68.91063081,1377,1377
A,C,E,H,J,B,E,A,D,J,A,D,J,C,F,H,L,S,H,L,S,0.091112624,0.000611797,1.004598876,2.00044671,2.035156008,2.939964622,0.937782261,3.425135022,10.4445295,-8.421539497,-36.50700854,1378,1377
